店铺名称,类别,评分,所在区,所属片区,纬度,经度,详细地址,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜
酒窝甜品(南海万科广场店),西式甜品,3.3,南海,南海万科广场,23.036769,113.154362,南海区桂城街道桂澜中路23号南海万科广场B1层,每满50减15.1，每满20减5.1（买单立享）;49.9元双人餐;14.9代20元，34.9代50元;,周一至周日 10:00-22:00,13928287800,2550,,"杨枝甘露,水果茶,多芒小丸子,汤丸加核桃露杏仁茶,波霸奶茶,巧克力心太软,珍珠（加料）,椰果（加料）,双皮奶,荔茸焗西米布甸,芒果冰沙,西米布丁,核桃芝麻糊,芒果白雪黑糯米,汤丸加芝麻糊,榴莲千层,芒果捞野,果汽,柚子绿,柠檬蜜芦荟,芒果欧蕾,卡布奇诺,百香果冰沙,红豆（加料）,布丁（加料）,奶盖茶,芒果酸奶,木瓜奶,杏仁糊,杏仁片,覆盆子酸奶,糖不甩,芒果杯,芋头冰,酸奶饮品,芒果西米,奇异果果汁,核桃糊,焦糖炖蛋,果粒芒果雪糕,糯米丸子,阿萨姆红茶,桂圆红枣茶,珍珠奶茶,布丁奶茶,翡翠柠檬,红茶玛奇朵,红茶拿铁,金桔柠檬"
高明乡情濑粉,米粉,4.5,禅城,九鼎国际,23.013785,113.130762,"禅城区九鼎国际城西门(九鼎国际后面,红波美食附近)",9元濑粉单人餐（小），10.5元濑粉单人餐（大），25元濑粉双人套餐;,周一至周日 08:00-21:00,13380256038,2548,,"牛腩濑粉（小）,牛杂濑粉（小）,鱼茸濑粉,咖喱鱼蛋,牛杂粉,半肥瘦猪肉粉大,罗汉果茶,半肥瘦肉濑粉（小）"
汕头八合里海记牛肉(嘉洲广场店),牛肉火锅,4.1,南海,嘉洲广场,23.108885,113.188532,南海区广佛一路98号嘉洲广场4层,满100减12（买单立享）;,周一至周日 10:00-21:30,0757-85921335,2548,,
王子拉茶(越秀悦汇天地店),奶茶/果汁,4,南海,越秀广场,23.031417,113.142321,南海区南海大道北81号越秀悦汇天地二区4层,每满10减2（买单立享）;12.8元招牌产品4选1，19.9元拉茶鸡蛋仔套餐，19.9元拉茶鸡蛋仔套餐;8代10元;,周一至周日 11:00-21:00,0757-86252947,2547,,
依立香饭(伦教店),快餐,3.8,顺德,伦教,22.8789,113.210326,顺德区伦常中路5号世纪广场首层商铺1号楼（伦教华润超市对面）,45代50元;,周一至周日 11:00-14:00 17:00-20:00,0757-28662068,2547,佛山市顺德区紫玉金砂餐饮管理有限公司是 “简氏集团”旗下的子公司，为全国**家紫砂美食餐饮连锁公司，以其纯天然、健康、美味特色的而备受推崇的专业紫砂美食（紫砂煲仔饭、煲仔菜、紫砂靓汤、紫砂炖品）已成为中国美食文化又一奇葩，紫砂美食将美食与养生保健、文化休闲融为一体，形成别具一格的紫砂经营特色及浓厚的紫砂美食文化。,"煲仔饭,排骨饭,牛腩饭套餐,腊味饭套餐,黄鳝饭,龙利鱼,牛肉窝蛋饭,老火靓汤,田鸡饭,时令蔬菜,手撕鸡饭,黑椒鸡排套餐,招牌鸡,萝卜牛腩锅仔,排骨煲仔饭,滑鸡饭,白切鸡,红豆糖水,西米露,排骨饭套餐,金瓜叉烧饭套餐,招牌贵妃鸡套餐,特色三宝煲套餐,广式煲仔饭,香辣猪手煲,无锡骨,南北杏炖猪肺,凉瓜黄豆炖排骨,五指毛桃炖老鸡,排骨套餐,罗汉果茶,鸡扒饭"
和福顺养生焖锅(天佑城店),焖锅,3.6,顺德,乐从,22.947343,113.107884,顺德区新桂路乐从天佑城四楼4c007（海洋馆旁）,双人餐98元，3人餐158元，4人餐218元;25代50元，88代100元;,周一至周日 10:00-21:00  非营业时段 2018-02-09至2018-02-23 全天,0757-28866635/18033226442,2542,,"以菜谱为准,牛腩,番薯,土豆,三汁焖锅,猪肚,鸡翅,牛肉,墨鱼仔"
山珍苑,火锅,4.2,,南庄,23.000237,113.002028,南庄季华西路紫南商贸美食城内（留福阁隔壁）,每满100减12（买单立享）;双人餐132元，3-4人餐198元，5-6人餐298元;88代100元;,周一至周日 10:00-22:00,0757-82568233,2538,,"美味菌,云南野生菌,菌炒飯,姬松茸菌,鹅旦菌,杂菜,菌饺子,米饭,蛋炒饭"
老佛爷(中海环宇城店),奶茶/果汁,4.5,南海,中海环宇城,23.043733,113.156583,南海区中海寰宇城负一层16座B68,11.8元鸡蛋仔套餐，13.8元精选物饮，18元悠闲套餐，23.8元滋味套餐，30元老佛爷土豪餐;10代20元;,周一至周日 10:00-23:00,13118877221,2538,,
Pelicana百利家炸鸡(佛山创意园店),韩国菜,4.5,禅城,创意产业园,23.013521,113.098019,禅城区季华四路佛山创意产业园18栋102铺,单人餐9.8元，双人餐36元;,周一至周日 10:00-22:00,0757-82727697,2542,,"Yogurt雪糕,真露海特MAX啤酒,海特S啤酒,海特Hite小麦白啤,鸡翅,薯条,沙拉,原味鸡"
华永丰蛋糕(北滘南源分店),蛋糕,3.8,顺德,北滘,22.924341,113.206399,顺德区北滘南源路296号地铺（北滘市场路口）,118元蛋糕2选1，6英寸蛋糕118元起，6英寸蛋糕118元起，128元蛋糕2选1，128元蛋糕2选1，128元蛋糕5选1，榴莲千层138元，138元蛋糕3选1，188元蛋糕2选1，抹茶翠心188元，198元蛋糕2选1，198元蛋糕2选1，198元蛋糕5选1，208元蛋糕3选1，258元蛋糕2选1，抹茶翠心258元，268元蛋糕2选1，268元蛋糕2选1，268元蛋糕5选1，278元蛋糕3选1;,周一至周日 07:00-20:00,0757-26639590,2534,华永丰食品制造有限公司自2000年创立以来，秉承永远追求满足顾客需求的经营理念。现今旗下拥有30多家直营销售门店，和各大品牌结成战略发展合作伙伴，公司的整体运作也由起步时的产销一体化模式升级为中央集结式生产、辐射型销售的现代化行销模式。 精细化的环节管理、专业化的制造团队、现代化的生产设备、膨胀化的销售网络、日臻完善的服务机制高素质的营销人才，是华永丰为广大客户提供满意服务的有力保障！华永丰的出品分为优质蛋挞、节、庆、礼蛋糕、时尚甜点、婚庆喜饼、中秋月饼、创新健康食品、面包西点等七大系列一百多款产品，与时俱进地研发创新是为永远追求满足顾客的需求！正因如此，华永丰的产品畅销顺德地区，华永丰品牌的知名度、美誉度、影响度、含金量不断的提升，塑造了积极健康的品牌效应。华永丰将始终怀抱“乐享丰盛时刻”的创业初衷，以健康产业为龙头，以铸造民族品牌精神为己任，致力于开发满足市场需求的产品，为顾客提供健康营养、安全放心的美味食品,
喜大屋火锅,火锅,3.8,顺德,龙江,22.885797,113.076446,顺德区龙江人民南路1号邮局对面（壹號家居创意中心铁门进入）,9折（买单立享）;双人餐88元，4人餐98元起，3-4人餐138元;85代100元;,周一至周日 11:00-14:30 17:00-21:00  非营业时段 2018-02-13至2018-02-22 全天,0757-23886789,2531,一锅清香鲜美的原汁靓汤，跳跃着滑、嫩、脆、爽的牛肉，菇菌、时蔬、小食融成特色全牛火锅宴。邀三五知己，携一家大小，围炉举箸，娓娓而谈，锅中翻细浪，下箸相谦让，品尝精品牛肉，体验火锅豪情！喜大屋牛肉火锅期待您的光临！,"牛肉,香煎黄花鱼,鸳鸯锅,牛肉火锅,猪肉,虫草花牛肉丸,韩式肥牛,鲜牛展,鲜鸡,手打面,椰汁糕,牛肉丸,鸡肉,粥水锅底,牛骨汤锅底,佛手瓜肋排清鸡汤锅底,三角肥牛,马山黑羊肉煲,鲫鱼,手打饺子,八爪鱼,薄片牛仔骨,龙虾球蟹子球双拼,味碟,饺子面条,牛肉粒,藕片,牛排,乌冬面,鱿鱼,饺子和面条,苦瓜,牛腩火锅,萝卜面筋,青菜,牛肠牛肺,番薯"
尊旺披萨,披萨,4.1,顺德,容桂,22.760086,113.258587,顺德区容桂街道容桂大道中海悦豪庭39D铺,2-3人餐31.9元，双人餐38.9元起，3-4人餐78元;,周一至周日 10:00-24:00,0757-23614262/23614263,2522,,"1,奥尔良烤鸡翅,咖喱牛肉,榴莲披萨,咖喱牛肉披萨,五香牛肉披萨,鸡翅中"
渝情未了(嘉洲广场店),川菜,4.7,南海,嘉洲广场,23.108501,113.189289,南海区黄岐嘉洲广场4楼,45代50元，88代100元;,周一至周日 11:00-21:00,0757-85921927,2519,,
Running chicken炸鸡(鹏瑞利店),韩国菜,4.3,南海,鹏瑞利季华广场,23.011773,113.15369,南海区季华七路鹏瑞利季华广场3楼金逸电影院旁边,9.5折（买单立享）;9.9元新品奶茶7选1，20元明星单品，双人餐32.8元;47代50元;,,17725670784,2518,,"炸鸡,鸡腿肉,番薯条,酱汁,鸡翅,脆啵啵小摇鸡,韩式火辣鸡爪,奶油薯拼,韩国手工鲜奶冰淇淋筒,韩国果肉果汁,炸鸡腿,芝士球,炸鸡翅,华夫饼,果汁饮料"
野牛西厨(同济店),西餐,5,禅城,同济,23.018612,113.108165,禅城区同济西路2号一楼（同济地铁站D出口背面）,单人餐58元，双人餐138元，3人餐188元;50代100元，88代100元;,周一至周日 11:00-02:00,0757-83325839,2522,,
雪冰·私享空间咖啡馆,咖啡厅,3.9,,大沥,23.107218,113.118984,大沥兴沥雄广场1楼A68铺（1874音乐餐吧隔壁）,9.9元特价单饮，22.8元休闲单人餐，25元商务单人餐，25.8元限时意面套餐，49.8元浪漫圣诞双人套餐，59.8元限时双人披萨套餐;45代50元;,,0757-85572291,2516,,"鸡翅,摩卡,原味酸奶,芒果酸奶,甜辣鸡翅,香辣炸鸡,水果冰淇淋面包,原味鸡块,拿铁,原味鸡翅2对,西瓜汁"
西牛一品.牛排(罗村店),西式正餐,3.7,南海,罗村,23.057126,113.05349,南海区金盛广场大润发四楼,单人餐58元，双人餐118元起;,周一至周日 10:00-22:00,0757-66820766,2517,,
于记香辣虾,干锅/香锅,5,高明,荷城,22.886778,112.889058,高明区荷香路华盈广场（金圆苑酒店对面）,2-3人餐106元，2-3人餐118元，2-3人餐118元，4-5人餐188元，4-5人餐198元;90代100元;,周一至周日 11:00-22:00  非营业时段 2018-02-06至2018-02-25 全天,15302327341,2513,,"虾跳蛋,香辣虾锅,虾扯蛋,干锅鸡翅虾,配菜,干锅香辣虾（小）,微汤香辣虾（小）,干锅香辣虾（大）,微汤香辣虾（大）,羊肉卷,精选羔羊肉,虾子,微汤香辣虾,小菜萝卜干,鱼皮饺子,干锅虾小,娃娃菜,莴笋,鱼皮饺"
夜猫子龙虾馆,烤鱼,4.4,禅城,季华园,23.001904,113.106855,禅城区绿景一路，里水食街内林记生蚝斜对面,2-3人餐68元，3人餐85元起，2-3人餐118元，3-5人餐136元;,00:00-24:00,13543641915,2497,,"烤鱼,生蚝,吃完了,虾子,黄瓜,雪碧或可乐,米饭,哈啤,回锅肉,水煮鱼,果粒橙,烤鱼生蚝,炒米粉,百叶,铁板包菜,豆腐乳,烧茄子,魔芋豆腐,黄豆芽"
Lucky Chicken,炸串,3.8,顺德,大良,22.846295,113.242663,顺德区大良锦绣路21号铺（即邮政局大良分局对面）,13.9元超值鸡腿杯套餐，14.8元超值翅包饭套餐，14.9元爆浆芝士鸡排，34.9元韩式鸡翅套餐，38元韩式鸡翅套餐，38元韩式鸡腿套餐，78元全鸡套餐;,非营业时段 2018-02-16至2018-02-20 全天,13802488967,2499,,
华永丰蛋糕(北滘柏丽分店),蛋糕,3.9,顺德,北滘,22.931769,113.204402,顺德区北滘镇跃进北路柏丽购物广场首层B4铺（新喜源对面）,118元蛋糕2选1，6英寸蛋糕118元起，6英寸蛋糕118元起，128元蛋糕2选1，128元蛋糕2选1，128元蛋糕5选1，榴莲千层138元，138元蛋糕3选1，188元蛋糕2选1，抹茶翠心188元，198元蛋糕2选1，198元蛋糕2选1，198元蛋糕5选1，208元蛋糕3选1，258元蛋糕2选1，抹茶翠心258元，268元蛋糕2选1，268元蛋糕2选1，268元蛋糕5选1，278元蛋糕3选1;,,0757-26639590,2489,华永丰食品制造有限公司自2000年创立以来，秉承永远追求满足顾客需求的经营理念。现今旗下拥有30多家直营销售门店，和各大品牌结成战略发展合作伙伴，公司的整体运作也由起步时的产销一体化模式升级为中央集结式生产、辐射型销售的现代化行销模式。 精细化的环节管理、专业化的制造团队、现代化的生产设备、膨胀化的销售网络、日臻完善的服务机制高素质的营销人才，是华永丰为广大客户提供满意服务的有力保障！华永丰的出品分为优质蛋挞、节、庆、礼蛋糕、时尚甜点、婚庆喜饼、中秋月饼、创新健康食品、面包西点等七大系列一百多款产品，与时俱进地研发创新是为永远追求满足顾客的需求！正因如此，华永丰的产品畅销顺德地区，华永丰品牌的知名度、美誉度、影响度、含金量不断的提升，塑造了积极健康的品牌效应。华永丰将始终怀抱“乐享丰盛时刻”的创业初衷，以健康产业为龙头，以铸造民族品牌精神为己任，致力于开发满足市场需求的产品，为顾客提供健康营养、安全放心的美味食品,
花园街6号(CIC创意园店),奶茶/果汁,3.9,顺德,容桂,22.769019,113.258706,顺德区容桂立新南路30号CIC创意园,9折（买单立享）;79代100元;,周一至周日 14:00-18:00 20:00-23:30,18126640006,2483,,"皇牌芝士蛋糕系列,芒果爽,芒果,经典果汁粒粒爽系列,冰糖花果茶,鸡脚,雪糕,白灼鱿鱼,精美小吃,奥利奥,招牌芒果粒粒爽,凉拌青瓜,黑森林蛋糕,鸡米花,餐蛋面,鱿鱼圈,玉米红豆,奇异果粒粒爽,墨鱼丸"
禾绿回转寿司(万科广场店),回转寿司,3.1,南海,南海万科广场,23.036881,113.154671,南海区桂澜路23号南海万科广场4楼,,周一至周日 11:00-22:00,0757-85133357,2482,,"炒饭,寿司,火灸鹅肝,甜虾刺身,虾寿司,三文鱼寿司,软壳蟹手卷,猪软骨拉面,牛油焗帆立贝,盐烧多春鱼,红颜知己,回转寿司,章鱼小丸子,天妇罗,豆腐卷,鳗鱼饭"
尊享派披萨(大良钟楼店),披萨,5,顺德,大良,22.839236,113.256145,顺德区凤山东路百富楼15号,双人餐32.8元起，3-4人餐89元，3-4人餐92.8元;,,0757-29818268,2481,,"超级豪华披萨,榴芒醉鸡披萨,百香果,蜂蜜柚子茶,新奥尔良披萨,洛神花茶,披萨饼,培根蘑菇披萨,榴莲披萨,榴莲pizza,香芋丸子,柚子茶,黑椒pizza,榴莲芒果披萨,奥尔良pizza,水果什锦披萨,海鲜披萨,荤食披萨,紫薯披萨,奥尔良披萨,奥尔良烤肉饭,咖喱鸡肉饭,百香果汁,糯米团,黑椒牛肉,榴芒披萨,香芋派,鲜榨柠檬汁,重芝士,披萨"
牛牛西厨(桂城店),西餐,4.4,南海,千灯湖/保利水城,23.063761,113.151126,南海区海七路友邦金融中心二座m层A单元,每满100减5（买单立享）;95代100元;,周一至周日 10:00-22:30,0757-86089177,2476,,
味蜀吾老火锅,川味火锅,4.9,顺德,北滘,22.93196,113.214296,顺德区北滘镇人昌路10号北滘商业广场2楼（北滘公园旁）,双人餐128元，4-5人餐298元;85代100元，95代100元;,周一至周日 午市 10:00-14:00 晚市 17:00-21:00,0757-23273958,2476,,"蜀味日光番茄锅,蜀味番茄鸳鸯锅（小）,钙骨清汤锅,蜀味挂面鸭肠,蜀味铺盖毛肚,鲜毛肚,脆皮肠,鲜鹅肠,鸭血"
家家乐(三水广场店),快餐,3.5,三水,三水广场,23.172302,112.892498,三水区西南张边路9号三水广场二期3楼,,周一至周日 10:00-22:00,0757-87910806,2473,,"白汁芝士海鲜焗饭,茶树菇肥牛干锅饭,芦荟茶,意大利面,鸡蓉蘑菇汤,芝士饭,三文鱼骨,炸鱿鱼丝,黑将军牛扒饭,水煮牛肉饭,青橘鲜拧百香果茶,西班牙海鲜炒饭,培根蝦,脆脆香,黑椒鸡扒,蔬菜沙拉,焦糖炖蛋,西多士,玉米汤,猪颈肉饭,百香果蜜茶（热）,蘑菇汤,荷叶排骨饭,西冷牛扒,玉米粉,厚煎鸡扒,香煎猪扒,川味辣子鸡饭,碳烤鸡翅,花样年华,鸳鸯排,酥炸山药卷,奥尔良鸡翼,招牌金沙骨,咖喱牛腩煲,西冷扒,荷叶包饭,吞拿鱼,鸡肉卷,肉酱意面,铁板饭"
帝诺比萨(南庄店),披萨,5,,南庄,22.970735,113.015338,南庄南庄镇吉利下街涌南巷1号（吉利广场北门斜对面）,41元美味二人套餐，58元披萨分享套餐，85元披萨分享套餐;,周一至周日 10:00-23:30,0757-82531788/82531789,2474,,"培根芝士披萨,榴莲pizza,鸡翅,新奥尔良烤鸡披萨,七喜,海鲜披萨,披萨,可口可乐,鲜虾培根,五香牛肉披萨"
周家嫲嫲麻辣烫(九鼎国际店),麻辣烫,3.5,禅城,九鼎国际,23.012664,113.132984,禅城区九鼎国际1楼,每满25减3（买单立享）;,周一至周日 09:00-21:00,0757-82091557,2464,,"麻辣烫,骨汤,1,莴笋,烫菜,牛肉丸,干锅,冒菜,鱼蛋,骨头汤,麻辣烫汤,藕片,油面筋,丸子,花甲,白菜,粉条,土豆藕片,米粉,米线金针菇,波波肠宽粉,油豆腐,藕片土豆"
仙祖烧鸡,粤菜,4.9,顺德,大良,22.823785,113.25335,顺德区延年路凤南花园7号,2-3人餐79元，4-5人餐163元，8-10人餐310元;85代100元;,周一至周日 09:00-14:00 16:00-21:30  非营业时段 2018-02-14至2018-02-21 全天,0757-22282759,2460,,
莱茵蜜语(伦教店),甜点饮品,4.2,顺德,伦教,22.86949,113.210666,顺德区伦教新城路华启璟轩5号铺（培教小学附近）,切件蛋糕四选一8元，118元蛋糕2选1，芒果千层生日蛋糕118元，鲜果抹茶慕斯蛋糕118元，水果黑森林生日蛋糕118元，招财猫酸奶慕斯生日蛋糕118元，彩虹芭比娃娃生日蛋糕118元，数码照片生日蛋糕128元，128元蛋糕2选1，玫瑰情人节千层蛋糕（芒果/榴莲）138元，沙滩裸蛋糕138元，水果拼盘千层蛋糕(榴莲或芒果)158元，麻将千层生日蛋糕(芒果/榴莲千层）B款158元，莱茵蜜语果缤纷水果忌廉...;,周一至周日 06:30-23:00,0757-27727488,2458,,"芒果千层蛋糕,奶油蛋糕,榴莲蛋糕,爱心蛋糕,水果黑森林蛋糕,芒果布丁"
大咖拉茶(祖庙铂顿城店),饮品店,5,禅城,祖庙,23.026525,113.113959,禅城区建新路铂顿城首层街铺，钻石苑卫宁路路边,12.8元大咖古法拉茶3选1;,周一至周日 12:30-23:30,13925489002,2457,,"水果茶,拉茶,招牌拉茶,王室拉茶,芒果西米露,红豆椰汁西米露,马拉椰香拉茶,招牌大咖拉茶（热）,招牌大咖拉茶（冷）,清新茉莉拉茶（冷）,清新茉莉拉茶（热）"
龟正盅(南海万达店),传统甜品,3.7,南海,万达广场/金融城,23.064045,113.15839,南海区桂城街道桂澜北路30号南海万达金街万达华府北9栋108号铺,9.9元特惠甜品，16.8元养颜阿胶膏，19.8元金.牌龟苓膏，28.9元甜品C套餐，39.8元甜品A套餐，54.9元甜品B套餐;45代50元;,周一至周日 12:00-23:00  非营业时段 2019-02-04至2019-02-10 全天,0757-86262046,2450,,"冰糖雪耳炖木瓜,鲜奶马蹄沙,椰汁紫米露,鲜奶西米红豆沙,巧克力华夫饼,鲜奶红豆冰,港式柠檬茶,木瓜椰奶雪蛤膏,芝士焗番薯,奇异籽杂果三宝龟苓爽,BBQ蜜糖鸡翅,香芋西米小丸子,金.牌龟苓膏,养颜阿胶膏,椰汁三宝龟苓捞"
魅力渔夫海钓放题餐厅,日本菜,4.7,顺德,容桂,22.780118,113.270407,顺德区东堤路容桂渔人码头,单人餐68元起，双人餐78元，4人餐148元，单人午/晚餐228元，单人午/晚餐288元;,周一至周日 11:00-14:00 18:00-21:30,0757-22251039,2450,,
丰圆轩粤式茶楼(岭南分店),粤菜,4.4,禅城,文华公园,23.005027,113.122978,禅城区岭南大道北96号,每满100减10（买单立享）;双人餐68元，4人餐136元;78代100元;,周一至周日 07:00-14:00 17:00-21:00,0757-82700786,2449,,
茶魔师(顺德旗舰店),奶茶/果汁,4.6,顺德,大良,22.83474,113.25917,顺德区大良东乐路骏业楼8号铺,9.5折（买单立享）;11.9元饮品;7.9代10元;,周一至周日 11:00-23:30,0757-22277236,2449,,
和味私厨(容桂店),牛杂,4.3,顺德,容桂,22.754613,113.276546,顺德区红星文明西路13号,2-3人餐68元;,周一至周日 午市 11:00-14:00 17:30-02:30,0757-29227872,2448,,"砂锅牛杂,牛杂火锅,娃娃菜,火锅面,面,火锅,牛杂,鲜香菇,莲藕片,牛仔煲,金针菇,面条"
淼福猪肚鸡,火锅,3.9,顺德,容桂,22.747365,113.281328,顺德区容桂客运站对面凯蓝名都143号,2-3人餐98元，4-5人餐138元，6-8人餐228元，9-10人餐358元;,周一至周日 09:30-14:00 16:30-21:30,0757-28096930,2445,,"鸽饭,煲仔饭,大锅,猪红,鸡血,鸡肉,青菜,丸子,猪肚鸡肉,杂丸,淼鑫药膳猪肚鸡,煲仔腊味饭,猪肉丸,牛筋丸,炖汤,酸菜鱼,付竹,菜花,米饭,鸡脖子,米粉,米糕,肥牛"
马得利(人民店),蛋糕,3.9,禅城,祖庙,23.03168,113.117232,禅城区人民路8号（近逸彩状元坊）,黑森林朱古力蛋糕58元，芒果千层蛋糕86元;,周一至周日 07:00-22:00,0757-82227938,2444,马得利港隆食品有限公司创立于1988年，主要从事烘培类食品的研发、生产和销售。主导产品为面包、西饼、糕点、生日蛋糕、饼干、曲奇和月饼。马得利策马扬鞭，引领着行业品牌！目标是行业**，成为中国名牌。 马得利出产的月饼选用优质植物油和精选蛋黄烘焙而成，更加美味，也更加健康。,"巧克力,朱古力蛋糕,酸奶芝士蛋糕,肉松包,老婆饼,抹茶蛋糕,双莲月饼,黑森林蛋糕,意大利黑椒热狗三文治,意大利提子丹麦包,意大利芝士肉松包,手撕椰蓉包,雪花迷情蛋糕,双黄鲜肉粽,瑶柱双黄粽,面包糕点,肉松面包,黑森林,樱桃忌廉蛋糕,利是酥角,笑口枣子,踏雪寻梅,鲜果彩虹,花开富贵,秋之花语月饼礼盒,秋月情怀月饼礼盒,蜜豆面包"
华永丰蛋糕(陈村天天分店),蛋糕,4.2,顺德,陈村,22.95984,113.23931,顺德区陈村镇白陈路1号天天商场旁,118元蛋糕2选1，6英寸蛋糕118元起，6英寸蛋糕118元起，128元蛋糕2选1，128元蛋糕2选1，128元蛋糕5选1，榴莲千层138元，138元蛋糕3选1，188元蛋糕2选1，抹茶翠心188元，198元蛋糕2选1，198元蛋糕2选1，198元蛋糕5选1，208元蛋糕3选1，258元蛋糕2选1，抹茶翠心258元，268元蛋糕2选1，268元蛋糕2选1，268元蛋糕5选1，278元蛋糕3选1;,,0757-26639590,2437,华永丰食品制造有限公司自2000年创立以来，秉承永远追求满足顾客需求的经营理念。现今旗下拥有30多家直营销售门店，和各大品牌结成战略发展合作伙伴，公司的整体运作也由起步时的产销一体化模式升级为中央集结式生产、辐射型销售的现代化行销模式。 精细化的环节管理、专业化的制造团队、现代化的生产设备、膨胀化的销售网络、日臻完善的服务机制高素质的营销人才，是华永丰为广大客户提供满意服务的有力保障！华永丰的出品分为优质蛋挞、节、庆、礼蛋糕、时尚甜点、婚庆喜饼、中秋月饼、创新健康食品、面包西点等七大系列一百多款产品，与时俱进地研发创新是为永远追求满足顾客的需求！正因如此，华永丰的产品畅销顺德地区，华永丰品牌的知名度、美誉度、影响度、含金量不断的提升，塑造了积极健康的品牌效应。华永丰将始终怀抱“乐享丰盛时刻”的创业初衷，以健康产业为龙头，以铸造民族品牌精神为己任，致力于开发满足市场需求的产品，为顾客提供健康营养、安全放心的美味食品,
SML顺麦隆(卡卡店),蛋糕,5,顺德,大良,22.813882,113.23533,顺德区南国西路38号日高新天地广场129铺,满20减2（买单立享）;,周一至周日 06:00-23:00,0757-22284755,2436,至尊莎士其连锁店成立于2002年，在短短几年内由原来一家小作坊到今天多家连锁经营。 本店以“经济实惠、真材实料、卫生可靠“作为宗旨，为广大顾客服务，树立品牌。2009年建成中央配成工厂，并通过QS生产许可，为广大顾客营造放心消费环境。,"老婆饼,草莓卷,代金券,朗姆葡萄曲奇,杏仁巧酥,百里香酥,杏仁巧酥（盒装）"
红参姜茶,饮品店,3.5,禅城,石湾,23.00822,113.058535,禅城区季华一路智慧新城T5栋,满100减9（买单立享）;50代60元;,,13143169789,2434,,
重庆小面(北滘福西店),快餐,4.8,顺德,北滘,22.924641,113.2043,顺德区北滘镇福西路11号,单人餐7.5元;,周一至周日 10:00-23:00,18923118827,2431,新店开业，全场9折，可乐/雪碧/芬达饮料免费选一,"招牌重庆小面,牛肉粉,泡萝卜,腌萝卜,杂酱面,酸萝卜,川味面,手工饺子,招牌小面,酸菜肉丝,肥肠粉,酸菜肥肠粉,麻辣面,冰可乐,臭豆腐,王老吉,维他奶,酸辣粉"
正宗仙庙烧鸡(小塘新城店),粤菜,5,南海,南海区,23.135092,112.959835,南海区狮山小塘新城对面263国道旁（恒逸酒店楼下）,9.5折（买单立享）;2-3人餐92元，2-3人餐103元，4-5人餐155元，5-6人餐178元，8-10人餐308元;92代100元;,周一至周日 11:00-24:00,0757-81166116/13928696858,2428,,"腊味排骨饭,排骨饭,娃娃菜,排骨,丝瓜,饭,汤,菜心,煲仔饭,蜜汁排骨,白灼娃娃菜,烧排骨,烧鸡,乞儿鸡,辣椒炒豆角,猪骨花生粥,排骨腊味煲仔饭,腊味饭,鱼头煲,虎皮尖椒,烤排骨,茄子炒豆角,笋干烧肉"
香江一本(莲花店),蛋糕,3.9,禅城,东方广场,23.035353,113.113395,禅城区莲花路138号8-9号铺,9.5元焦糖布丁，11.1元一の本蛋糕，爱爱佩琪蛋糕78元，凯蒂公主蛋糕78元，欢乐熊出没蛋糕78元，吉祥四宝蛋糕78元，幸福魔方蛋糕98元，迷情可可蛋糕98元，天空之城蛋糕108元，水果之城蛋糕108元，酸酸甜甜蛋糕108元，优酸滋味蛋糕108元;8.5代10元;,周一至周日 09:00-21:00,0757-82235489,2458,香江一本是一家专门生产糕点、西饼、中秋月饼的专业食品厂。在佛山市有二十多家连锁经营店。新建厂房座落在佛山市桂丹路，占地面积近一万平方米，是目前广东省规模宏大、设备先进的食品机构之一。,"小蛋糕,白饼,菠罗包,菠萝包,酥皮包,原味蛋糕,酥皮面包,牛奶棒,榴莲蛋糕,缤果乐蛋糕,巧克力蛋糕,鸡蛋糕,乐缤纷蛋糕,褔猪面包,小面包,风华正茂（樱桃味）蛋糕"
曦-加洲卷,日式寿司,4.9,禅城,同济,23.014244,113.11708,禅城区祖庙街道永红村金澜北路16号1楼02号铺（桥登堡英语学校对面）,单人餐13.8元起，双人餐68.8元;47代50元，90代100元;,非营业时段 2018-02-13至2018-02-23 全天,18575890864,2424,,"紫米加州卷,经典加州卷,樱花加州卷,太卷,妙脆加州卷,肉松加州卷,醋青鱼寿司,熟虾寿司,希鲮鱼寿司,茶,墨鱼仔,紫米卷,火焰三文鱼皮寿司,三文鱼寿司,烟鸭胸寿司,双拼刺身（三文鱼；北极贝）,火焰三文鱼寿司,芝士三文鱼加洲卷,三文鱼小卷,海草小食"
杨小贤甜品(丽日广场店),甜点饮品,5,南海,丽日广场,23.013088,113.163686,南海区桂城季华东路丽日广场一楼,8.5折（买单立享）;6代10元，15代20元;,周一至周日 11:00-23:00  非营业时段 2018-02-14至2018-02-20 08:00-18:00,0757-86325679,2423,,
劲爆花甲海鲜粉,快餐,3.6,南海,怡丰城,23.033448,113.188318,南海区石龙南路南海怡丰城4楼409B铺（A Cup奶茶旁边）,19.9元花甲粉一人餐，27.9元超级花甲粉双人餐;,周一至周日 10:30-21:30,13630071212/13928231087,2421,,
鹅先生创意料理,粤菜,5,南海,南海万科广场,23.036338,113.153949,南海区南海万科广场三楼外街商场南门出口旁,79代100元;,周一至周日 10:30-22:00,0757-86286503/13822382212,2451,,
